OrderID,Date,Product,Category,Region,Sales,Profit
1,2024-05-05,Phone,Technology,South,704,174.81
2,2024-10-06,Tablet,Technology,North,1339,315.12
3,2024-04-21,Mouse,Office Supplies,South,760,80.53
4,2024-12-25,Laptop,Technology,West,2128,517.54
5,2024-01-04,Printer,Office Supplies,South,4179,910.41
6,2024-04-20,Mouse,Office Supplies,East,3287,511.37
7,2024-07-02,Phone,Technology,East,1259,221.57
8,2024-10-01,Monitor,Technology,North,855,210.28
9,2024-11-17,Mouse,Office Supplies,East,1145,240.92
10,2024-04-26,Printer,Office Supplies,East,1069,116.7
11,2024-07-13,Phone,Technology,East,2407,657.83
12,2024-06-30,Headphones,Technology,South,3488,462.27
13,2024-03-28,Monitor,Technology,South,1084,240.46
14,2024-11-23,Tablet,Technology,South,4286,753.87
15,2024-01-17,Keyboard,Office Supplies,East,958,139.69
16,2024-10-17,Mouse,Office Supplies,East,2693,304.95
17,2024-11-25,Printer,Office Supplies,West,4589,822.01
18,2024-10-14,Tablet,Technology,East,2669,341.43
19,2024-03-11,Mouse,Office Supplies,West,3771,650.12
20,2024-03-19,Phone,Technology,South,885,240.92
21,2024-11-01,Mouse,Office Supplies,West,1020,180.49
22,2024-02-28,Monitor,Technology,East,594,140.22
23,2024-03-21,Keyboard,Office Supplies,West,1413,224.24
24,2024-04-01,Laptop,Technology,North,2657,782.16
25,2024-03-19,Monitor,Technology,East,4658,1033.12
26,2024-09-28,Tablet,Technology,North,4918,1429.66
27,2024-07-04,Keyboard,Office Supplies,East,4502,467.74
28,2024-10-17,Printer,Office Supplies,North,974,144.32
29,2024-09-29,Phone,Technology,South,4481,1179.42
30,2024-03-25,Tablet,Technology,East,4393,1271.2
31,2024-12-19,Mouse,Office Supplies,South,2235,638.72
32,2024-11-28,Monitor,Technology,East,3768,1126.74
33,2024-05-06,Headphones,Technology,South,4739,901.82
34,2024-10-10,Phone,Technology,South,3269,340.65
35,2024-11-19,Printer,Office Supplies,North,558,63.72
36,2024-06-18,Printer,Office Supplies,North,1052,295.7
37,2024-04-19,Printer,Office Supplies,South,2781,650.19
38,2024-07-27,Headphones,Technology,South,2490,639.74
39,2024-06-30,Phone,Technology,West,1294,299.94
40,2024-01-28,Mouse,Office Supplies,North,4325,1179.72
41,2024-02-25,Laptop,Technology,South,3798,932.95
42,2024-03-12,Printer,Office Supplies,West,2058,426.54
43,2024-02-08,Tablet,Technology,West,2781,535.41
44,2024-10-03,Phone,Technology,North,914,210.61
45,2024-09-05,Phone,Technology,West,2436,324.63
46,2024-03-25,Printer,Office Supplies,West,3785,1061.65
47,2024-08-20,Laptop,Technology,East,3698,565.94
48,2024-05-31,Mouse,Office Supplies,South,4486,587.48
